"id";"version";"file";"projectfile";"beginline";"endline";"rule";"ruleset";"externalInfoUrl";"package";"class";"function";"priority";"violation";"violation_nonumbers"
"51018";"4.2.2";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\classes\database\Postgres.php";"4447";"4591";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method findObject() has 145 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method findObject() has  lines of code. Current threshold is set to . Avoid really long methods."
"51027";"4.2.2";"classes\database\Postgres.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\classes\database\Postgres.php";"4629";"4864";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres";;"3";"The method executeScript() has 236 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method executeScript() has  lines of code. Current threshold is set to . Avoid really long methods."
"51186";"4.2.2";"classes\database\Postgres73.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\classes\database\Postgres73.php";"1810";"1914";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres73";;"3";"The method getConstraintsWithFields() has 105 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method getConstraintsWithFields() has  lines of code. Current threshold is set to . Avoid really long methods."
"51216";"4.2.2";"classes\database\Postgres73.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\classes\database\Postgres73.php";"2221";"2353";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Postgres73";;"3";"The method findObject() has 133 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method findObject() has  lines of code. Current threshold is set to . Avoid really long methods."
"51357";"4.2.2";"classes\plugins\Slony.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\classes\plugins\Slony.php";"168";"270";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";"Slony";;"3";"The method initCluster() has 103 lines of code. Current threshold is set to 100. Avoid really long methods.";"The method initCluster() has  lines of code. Current threshold is set to . Avoid really long methods."
"51504";"4.2.2";"colproperties.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\colproperties.php";"23";"172";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAlter";"3";"The function doAlter() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAlter() has  lines of code. Current threshold is set to . Avoid really long methods."
"51601";"4.2.2";"constraints.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\constraints.php";"18";"215";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"addForeignKey";"3";"The function addForeignKey() has 198 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function addForeignKey() has  lines of code. Current threshold is set to . Avoid really long methods."
"51663";"4.2.2";"constraints.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\constraints.php";"220";"341";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"addPrimaryOrUniqueKey";"3";"The function addPrimaryOrUniqueKey() has 122 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function addPrimaryOrUniqueKey() has  lines of code. Current threshold is set to . Avoid really long methods."
"51743";"4.2.2";"database.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\database.php";"35";"325";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doFind";"3";"The function doFind() has 291 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doFind() has  lines of code. Current threshold is set to . Avoid really long methods."
"51801";"4.2.2";"database.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\database.php";"546";"712";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doAdmin";"3";"The function doAdmin() has 167 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doAdmin() has  lines of code. Current threshold is set to . Avoid really long methods."
"51894";"4.2.2";"display.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\display.php";"28";"199";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doEditRow";"3";"The function doEditRow() has 172 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doEditRow() has  lines of code. Current threshold is set to . Avoid really long methods."
"51968";"4.2.2";"display.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\display.php";"253";"475";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doBrowse";"3";"The function doBrowse() has 223 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doBrowse() has  lines of code. Current threshold is set to . Avoid really long methods."
"52409";"4.2.2";"functions.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\functions.php";"58";"227";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doEdit";"3";"The function doEdit() has 170 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doEdit() has  lines of code. Current threshold is set to . Avoid really long methods."
"52460";"4.2.2";"functions.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\functions.php";"232";"334";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doProperties";"3";"The function doProperties() has 103 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doProperties() has  lines of code. Current threshold is set to . Avoid really long methods."
"52505";"4.2.2";"functions.php";"D:\dwork\code\phppgadmin\phppgadmin-4.2.2\functions.php";"420";"635";"ExcessiveMethodLength";"Code Size Rules";"http://phpmd.org/rules/codesize.html#excessivemethodlength";"+global";;"doCreate";"3";"The function doCreate() has 216 lines of code. Current threshold is set to 100. Avoid really long methods.";"The function doCreate() has  lines of code. Current threshold is set to . Avoid really long methods."
